iter	Passed	Remaining
0	121	121113
1	191	95632
2	278	92630
3	336	83815
4	390	77622
5	447	74161
6	508	72172
7	556	68951
8	602	66373
9	651	64494
10	700	62970
11	741	61073
12	785	59614
13	825	58151
14	869	57118
15	914	56220
16	958	55442
17	1009	55072
18	1049	54181
19	1092	53539
20	1139	53141
21	1183	52616
22	1228	52200
23	1281	52127
24	1332	51955
25	1381	51737
26	1422	51266
27	1471	51072
28	1513	50686
29	1563	50549
30	1602	50087
31	1638	49576
32	1677	49147
33	1715	48744
34	1752	48328
35	1795	48076
36	1839	47870
37	1888	47809
38	1930	47573
39	1973	47358
40	2018	47202
41	2061	47024
42	2104	46848
43	2146	46638
44	2189	46466
45	2234	46351
46	2280	46236
47	2323	46088
48	2369	45983
49	2410	45795
50	2452	45641
51	2491	45425
52	2532	45256
53	2574	45099
54	2615	44939
55	2652	44718
56	2691	44529
57	2729	44325
58	2823	45024
59	2867	44929
60	2907	44756
61	2942	44523
62	2982	44354
63	3023	44216
64	3063	44068
65	3102	43910
66	3141	43747
67	3187	43688
68	3230	43584
69	3274	43500
70	3317	43401
71	3357	43269
72	3404	43238
73	3444	43098
74	3482	42951
75	3524	42855
76	3564	42728
77	3600	42560
78	3638	42415
79	3672	42239
80	3715	42149
81	3762	42117
82	3804	42030
83	3844	41927
84	3885	41823
85	3924	41711
86	3964	41605
87	4006	41522
88	4044	41400
89	4089	41354
90	4130	41256
91	4172	41181
92	4212	41085
93	4252	40983
94	4291	40883
95	4330	40779
96	4371	40692
97	4410	40598
98	4456	40555
99	4495	40457
100	4534	40358
101	4573	40262
102	4620	40241
103	4661	40157
104	4702	40080
105	4741	39991
106	4783	39922
107	4827	39869
108	4864	39766
109	4902	39667
110	4941	39575
111	4980	39484
112	5022	39423
113	5062	39348
114	5102	39264
115	5140	39173
116	5180	39098
117	5219	39016
118	5266	38990
119	5306	38914
120	5345	38832
121	5384	38750
122	5424	38678
123	5467	38622
124	5508	38560
125	5547	38481
126	5586	38399
127	5625	38326
128	5665	38254
129	5705	38181
130	5744	38108
131	5783	38031
132	5821	37950
133	5863	37895
134	5905	37841
135	5944	37767
136	5986	37708
137	6025	37636
138	6067	37584
139	6108	37522
140	6153	37486
141	6194	37430
142	6233	37355
143	6271	37280
144	6309	37205
145	6347	37130
146	6385	37055
147	6425	36990
148	6465	36928
149	6506	36867
150	6548	36818
151	6586	36744
152	6627	36690
153	6666	36622
154	6706	36562
155	6745	36497
156	6780	36409
157	6816	36323
158	6856	36265
159	6896	36208
160	6939	36161
161	6980	36110
162	7019	36046
163	7063	36006
164	7103	35950
165	7143	35889
166	7187	35852
167	7227	35794
168	7269	35743
169	7310	35690
170	7350	35633
171	7390	35579
172	7431	35526
173	7472	35475
174	7514	35427
175	7557	35380
176	7601	35345
177	7644	35302
178	7690	35271
179	7731	35221
180	7770	35158
181	7809	35101
182	7848	35037
183	7889	34987
184	7932	34944
185	7970	34883
186	8010	34826
187	8051	34775
188	8089	34711
189	8127	34648
190	8168	34599
191	8211	34557
192	8259	34534
193	8299	34480
194	8339	34428
195	8380	34376
196	8420	34323
197	8460	34270
198	8500	34214
199	8543	34175
200	8582	34115
201	8622	34063
202	8665	34022
203	8706	33973
204	8749	33930
205	8791	33886
206	8834	33844
207	8879	33811
208	8922	33767
209	8964	33724
210	9012	33700
211	9054	33655
212	9100	33625
213	9147	33598
214	9190	33556
215	9232	33511
216	9274	33466
217	9315	33417
218	9364	33396
219	9408	33358
220	9453	33322
221	9494	33271
222	9534	33219
223	9573	33165
224	9615	33120
225	9656	33072
226	9701	33036
227	9740	32980
228	9779	32925
229	9818	32870
230	9858	32819
231	9898	32766
232	9936	32710
233	9975	32654
234	10013	32597
235	10055	32552
236	10096	32504
237	10135	32451
238	10175	32398
239	10217	32354
240	10256	32302
241	10306	32281
242	10352	32250
243	10420	32286
244	10461	32238
245	10501	32188
246	10544	32146
247	10585	32099
248	10630	32062
249	10671	32015
250	10711	31963
251	10761	31943
252	10807	31911
253	10850	31868
254	10892	31823
255	10936	31783
256	10977	31736
257	11017	31687
258	11055	31630
259	11096	31581
260	11140	31543
261	11182	31498
262	11222	31447
263	11261	31396
264	11302	31349
265	11344	31303
266	11382	31249
267	11425	31207
268	11466	31160
269	11511	31124
270	11556	31086
271	11598	31042
272	11639	30995
273	11684	30959
274	11723	30908
275	11766	30865
276	11808	30821
