listing_type,state_code,property_type,address,suburb_name,postcode,bedrooms,list_date
rent,ACT,townhouse,40/2 Bamblett Rise,Denman Prospect,2611,4,20/2/2023
rent,ACT,duplex-semi-detached,12 Saunders Street,Ngunnawal,2913,3,20/2/2023
rent,ACT,house,10 Mary Kitson Street,Watson,2602,5,20/2/2023
rent,ACT,house,21 Crone Terrace,TAYLOR,2913,6,20/2/2023
rent,ACT,apartment,56/47 Blackall Street,Barton,2600,2,20/2/2023
rent,ACT,apartment,29/60 Henty Street,Braddon,2612,2,20/2/2023
rent,ACT,unit,32/20 Eyre St,Kingston,2604,2,20/2/2023
rent,ACT,house,7 Mirning Crescent,Aranda,2614,4,20/2/2023
rent,ACT,house,135 Darwinia Terrace,Rivett,2611,3,20/2/2023
rent,ACT,apartment,305/25 Edinburgh Avenue,City,2601,1,20/2/2023
rent,ACT,townhouse,12/18 Zamia Place,Palmerston,2913,3,20/2/2023
rent,ACT,apartment,25/2 Bamblett Rise,Denman Prospect,2611,2,20/2/2023
rent,ACT,house,187 Anthony Rolfe Avenue,Gungahlin,2912,3,20/2/2023
rent,ACT,flat,2B/7 Kinkead Street,Evatt,2617,1,20/2/2023
rent,ACT,townhouse,27/11 Felstead Street,Denman Prospect,2611,2,20/2/2023
rent,ACT,apartment,310/21 Provan Street,Campbell,2612,1,20/2/2023
rent,ACT,apartment,72/17 Darling Street,Barton,2600,2,20/2/2023
rent,ACT,unit,1/30 Cunningham Street,Kingston,2604,2,20/2/2023
rent,ACT,apartment,95/11 Trevillian Quay,Kingston,2604,3,20/2/2023
rent,ACT,apartment,202/10 Currie Crescent,Kingston,2604,2,20/2/2023
rent,ACT,apartment,3/21 Ijong Street,Braddon,2612,2,20/2/2023
rent,ACT,house,74B Gouger Street,Torrens,2607,4,20/2/2023
rent,ACT,townhouse,7/20 Blakey Close,Monash,2904,3,20/2/2023
rent,ACT,house,37 Holden Crescent,Wanniassa,2903,4,20/2/2023
rent,ACT,apartment,205 /10 Currie Crescent,Kingston,2604,2,20/2/2023
rent,ACT,house,32 Proctor Street,Chisholm,2905,4,20/2/2023
rent,ACT,house,4 Critchley Street,Casey,2913,5,20/2/2023
rent,ACT,house,42 Knox Street,Watson,2602,4,20/2/2023
rent,ACT,apartment,30/71 Giles Street,Kingston,2604,2,20/2/2023
rent,ACT,apartment,812/17 Dooring Street,Braddon,2612,1,20/2/2023
rent,ACT,house,23 Chuditch Street,Throsby,2914,4,20/2/2023
rent,ACT,apartment,202/50 Eastlake Parade,Kingston,2604,2,20/2/2023
rent,ACT,house,16 Chauvel Circle,Chapman,2611,4,20/2/2023
rent,ACT,apartment,25/41 Chandler Street,Belconnen,2617,1,20/2/2023
rent,ACT,house,17 Tishler Street,Wright,2611,5,20/2/2023
rent,ACT,townhouse,46/76 Stockman Avenue,Lawson,2617,3,20/2/2023
rent,ACT,house,72 Werriwa Crescent,Isabella Plains,2905,4,20/2/2023
rent,ACT,apartment,403/2 Terry Connolly Street,Coombs,2611,2,20/2/2023
rent,ACT,apartment,5/4-6 Coolac Place,Braddon,2612,3,20/2/2023
rent,ACT,townhouse,7/31 Moyes Crescent,Holt,2615,3,20/2/2023
rent,ACT,apartment,19/5 Kerridge Street,Kingston,2604,2,20/2/2023
rent,ACT,house,40 Anembo Street,Narrabundah,2604,3,20/2/2023
rent,ACT,apartment,131/8 Baudinette Circuit,Bruce,2617,2,20/2/2023
rent,ACT,apartment,6/33 Eastlake Parade,Kingston,2604,2,20/2/2023
rent,ACT,house,4 Stockdill Drive,Strathnairn,2615,4,20/2/2023
rent,ACT,house,11 Haviland St,Coombs,2611,4,20/2/2023
rent,ACT,house,14 Stanley Street,Hackett,2602,4,20/2/2023
rent,ACT,apartment,10/11 Trevillian Quay,Kingston,2604,2,20/2/2023
rent,ACT,townhouse,2/35 Lansdown Crescent,Casey,2913,2,20/2/2023
rent,ACT,house,13 Abbott St,Yarralumla,2600,3,20/2/2023
rent,ACT,house,13 Lovegrove Place,Kambah,2902,3,20/2/2023
rent,ACT,duplex-semi-detached,4B Marmion Place,Stirling,2611,3,20/2/2023
rent,ACT,townhouse,2/13 Penton Place,Gilmore,2905,2,20/2/2023
rent,ACT,flat,5 Stumm Place,Latham,2615,2,20/2/2023
rent,ACT,apartment,514/83 Cooyong Street,Reid,2612,1,21/2/2023
rent,ACT,house,45 Harry Hopman Circuit,Gordon,2906,3,21/2/2023
rent,ACT,unit,5/59 Hodgson Crescent,Pearce,2607,3,21/2/2023
rent,ACT,house,28A Sabrina Avenue,Central,2601,2,21/2/2023
rent,ACT,townhouse,11/1 Taggart Terrace,Coombs,2611,3,21/2/2023
